và	pép
nghị	rẽo
tiếng	kễnh
đều	phuậng
đặc	nhoăn
chồng	phọng
cáo	gẵn
hồ	tẹp
mức	moảy
chí	luê
chế	thuỹn
xử	ngấng
tượng	nguốp
mỗi	vuệ
nhau	nhoẳn
ta	qúng
gì	tuýu
giúp	thạu
nữ	xại
chuyển	khặm
thêm	phột
đánh	gảo
loại	troẻ
trí	phẵm
tiến	soác
khiến	gioằm
chi	địt
tìm	hửi
muốn	duỵnh
phụ	ởm
cá	chòn
thân	nguýn
chuyện	puể
đoàn	ngoẳng
quyền	goắt
vợ	ngoãng
quản	giuần
đông	hâng
bố	poẽm
chia	phoèo
hoặc	gỡm
sách	thuề
tích	mứi
phim	kĩn
mang	coạ
sức	suyệt
hoa	nhêu
lời	thoẹo
dùng	phuyên
ngân	toãy
chương	boẻn
giám	ruyn
nhập	tẽo
ngành	buỹa
từng	phuyền
nạn	trứt
hết	nển
diện	ợi
chuyên	gỡi
tay	mếnh
tịch	xượm
ngay	vưới
nơi	goẽn
khoa	giừi
dịch	ngoảng
lập	quựng
giữ	bồm
lợi	xặc
chứng	goão
hải	thũa
hộ	gượu
thiết	đỉm
hướng	sậng
phó	hựa
tiên	phuỵt
phục	thĩm
mọi	đuểnh
bao	quáp
xét	đoẵm
dẫn	tón
truyền	ruớ
biểu	iềm
phí	soẳng
ca	điệc
biển	quạn
thư	dắng
bé	muỵp
bỏ	lứi
lịch	luẫy
trần	cờm
chung	loéo
xác	chuộm
vật	gioắt
rõ	phoẳng
giữa	xoam
giả	nhâu
bài	xuyển
sao	ngậng
cái	giều
y	oắng
du	nhoãnh
ứng	giuệch
tử	vịp
đẹp	dểnh
xem	phoẽn
hoàng	khửn
hoà	vữ
dù	qúm
trả	gựn
sẻ	cỗng
chiếc	gieng
đủ	thèng
dài	rử
kiện	hộm
cổ	dẹng
vàng	ưởi
thay	pại
đạt	roãy
thuộc	lượi
kế	chuỵt
gái	ẻ
trợ	rở
lê	nghiếu
ba	tẳm
nhỏ	chậng
ký	vỗn
chọn	tuẩn
chiến	phẻn
câu	phĩnh
thuật	coẳn
sơn	nhổi
mất	khoẵng
hỏi	sặng
gặp	vốm
thái	thoạm
chiều	đuỳu
biến	toai
lấy	mỗng
vệ	coáp
bàn	trế
luôn	chạt
tên	goẽo
phủ	oạ
xảy	pày
danh	niều
quận	voáy
đức	xấng
đúng	pẹo
thích	gợp
dục	phoăm
đảm	xuỗng
bởi	xẫu
ấy	hĩa
tiết	niến
bác	nuây
hạn	pót
hậu	gúi
đời	ruềnh
quân	ỵ
ai	giùa
hưởng	bễm
cây	luổi
quảng	troọng
tranh	voam
so	giuyển
sang	thuyn
đội	trượi
tố	oá
cửa	rượn
vùng	nhưỡi
kể	phộ
nguồn	quỹa
trạng	nãnh
vốn	nệp
nhóm	puỹnh
căn	lỉm
phân	mữu
xuống	tuễ
cuối	mịu
tất	ghĩnh
cứ	oàn
bay	trẩm
nghiệm	giạnh
thí	trẫng
chuẩn	rễu
cố	chưu
tàu	puốc
lao	khớm
mở	ĩa
liệu	kịn
nữa	soắt
tướng	giựa
tối	gị
uỷ	phưởu
lưu	boẹ
đăng	thởm
ít	soảnh
nhạc	khười
mắt	cứi
lãnh	luầng
ngọc	trạp
đoạn	gơn
xin	ruỷu
đốc	giưởn
trực	pốp
đặt	pếch
trách	pườu
bắc	phoắc
tuyển	khuộc
vận	xất
dương	xoắt
riêng	giậng
ngoại	nánh
luận	gởm
mạng	khuỗn
cụ	trản
sơ	boãi
đa	buổm
phía	nguốc
đóng	hoam
tương	phuầng
nông	siệng
yếu	vớp
ninh	xướp
tội	cuỷa
khăn	đuỵa
xuân	coám
mục	phuyễn
nghĩa	gioặn
cạnh	gụt
cháu	bửm
lớp	guỹ
đào	khựa
hoạch	giãng
khẩu	giụi
long	suyện
phong	nhửa
vũ	moạm
phú	đoặm
nghĩ	quưỡn
môi	nhướt
thiếu	goáo
thật	giế
hiểu	phuýn
nổi	ghẻm
chạy	troão
trái	lằm
cán	xuềnh
thuốc	tuốm
kỹ	uê
hữu	thỹ
cục	ngọi
áp	sẹng
cộng	quồn
thuận	phuôn
tinh	xiễn
nhật	bâm
chân	xoẳn
lòng	xuỗi
càng	guầy
dưới	chĩ
nó	khưỡu
nhìn	tụn
đêm	xậng
quang	thóm
nhanh	ững
nghiên	troém
gửi	trặm
hỗ	nhấng
châu	đuất
khá	suỗm
phúc	nghiềm
phép	quỏng
trai	duệch
tải	puổng
đảng	đuỷu
chơi	xoẹm
chết	puống
gọi	pủng
đàn	tuốn
môn	nuýu
tuần	dẩm
lễ	pớm
dung	ngăng
góp	nhềnh
huy	poãm
tân	khến
khả	xẳm
hồi	muở
hôm	sươm
biên	đềnh
lan	đoóc
độc	mẫng
linh	giy
cung	cuyu
toán	toãi
giấy	guê
cường	xạnh
đáng	noóc
tai	soặng
tuyến	pượu
nằm	thậu
gồm	quòi
xúc	vớn
duy	rợi
sắc	chuề
giang	phễm
trao	moen
lo	huầy
bí	nễ
buổi	troàn
thần	uề
sân	khững
đồ	phuệ
thuỷ	khươu
cử	luớ
tây	ĩm
khoẻ	tãy
nghe	dườn
rộng	lĩm
vui	phượi
toà	nguốt
hồng	ghịch
dành	nuỗi
phối	roeo
kim	tụp
khoản	oảm
tấn	buấn
vai	troạo
chống	hựng
lệ	vuỹa
khí	giuông
vô	pằm
lương	oỏng
dễ	thĩ
đầy	thoéo
sư	hộn
nặng	nghểnh
mai	cữn
trò	truỵa
hương	dỏi
nguy	phoạc
hại	pườm
thảo	suộn
đảo	phụp
thiện	khoạy
nuôi	truỵp
ghi	phõ
quán	chõn
chịu	phẹn
tưởng	suỵch
phường	gioẳn
niên	oảy
tết	vẫng
mong	rúa
lộ	phuổng
cực	buýn
vài	khữm
bước	quoẹ
đô	soách
nghiêm	goắm
đà	góng
chấp	phoảng
thuế	oãn
thoại	nợp
đứng	niểng
đôi	guỗn
di	võm
uống	choặn
phản	phọn
nghề	phũn
vọng	xếm
thấp	quiệu
âm	qún
tiện	đỗng
lĩnh	uơ
thẩm	dỉu
dầu	gioẽm
khám	noẹm
màu	noách
hát	poóc
đau	moắt
xa	giầng
hiểm	xộp
lâu	quoen
mô	ruyết
kiếm	nỉu
mặc	choèn
nghỉ	luỵnh
viết	giẽng
phù	cuỵp
nhằm	rển
xuyên	dõ
kỷ	vuôm
ngờ	soạo
yên	truể
mưa	lếm
hạ	sữi
nghi	quíu
kéo	bậng
khởi	giuỵt
ương	phẹm
nâng	thiếng
khẳng	giựu
cư	iễm
mẫu	phèm
trương	vuốc
quý	nguổi
mại	duểnh
phá	luỳnh
chú	điệng
sai	pỉu
ô	goặc
chăm	nhữi
hùng	toằn
suất	lướn
sâu	sẩng
tuấn	nhũm
bức	ghiếp
đọc	quiêu
lâm	tuợ
nợ	ngướn
khỏi	quĩn
phạt	qúc
tín	giưỡi
vượt	xuệ
đấu	gỉn
thiên	giưới
thưởng	đữ
sông	nhui
sớm	xểm
dạy	đựm
cha	trếm
bổ	roạo
cải	roẳm
tuyên	nẵn
chỗ	rại
áo	giễng
hạnh	xệnh
tầng	hoãng
da	hẽ
tạm	quòng
đẩy	oày
dưỡng	ngứt
chữa	sước
vòng	óm
phiên	hoách
đá	noác
mùa	bượu
vay	quảu
hôn	rồm
đâu	moáy
chứ	vuếch
xanh	ựu
quê	nhứu
hút	ngườn
máu	gioao
hiệp	khoèm
nhờ	puya
thăm	doỏng
trú	poao
thuê	ghích
tránh	nguý
khán	ngôm
chẳng	dựi
tiểu	phạu
ánh	hứn
quay	mẽo
soát	thuốm
nhiệt	ngẵm
ngôi	dẩng
thắng	giướm
dũng	vuỹn
món	thạy
thừa	chiểng
ung	đuỷn
cháy	cựm
khắc	thuỗm
ngồi	xoao
phê	nèm
họp	buống
trì	roào
tô	hiệc
quen	phặt
vinh	giển
miền	sốn
chợ	toặm
nhu	guẫn
chắc	sể
nền	mỡn
giống	suổn
nga	pôm
nóng	nghịnh
thôn	boạng
phút	quể
giai	nhoạp
ổn	pẽ
bầu	nhoằm
ưu	khụp
thầy	phuỹ
nhớ	mỗm
mắc	gioẽ
dấu	tuỷu
sóc	nuếch
quanh	uộn
trời	phơm
mối	xỏng
cà	hoẵn
tỉ	cuỳ
thậm	xiễng
chờ	giói
chỉnh	xuya
khánh	coẽn
ma	liệc
thúc	xẽn
lai	nhứn
ngủ	tréng
siêu	đăn
thịt	giỷ
chiếm	dẽn
tức	khệch
đứa	đoẵng
may	xuộm
nẵng	díp
thơ	voản
bày	luẩy
song	loạch
nhiễm	miệu
hãy	đẳn
đón	ưỡm
ấn	nhéng
chuyến	xệm
khảo	póng
phóng	quờm
can	trìa
bánh	qùn
suy	siềng
cân	sối
đáp	nuỵt
vẻ	dắp
khoá	poẻo
lựa	pũa
hưng	boẹt
trải	ịp
truy	cuỳn
lái	uểnh
sợ	thoèn
trồng	buếch
thú	mỉnh
kịp	bều
dòng	rễnh
ích	piểm
lạc	truơ
tỏ	khỗng
hàn	moè
khối	viềm
tặng	ghiết
suốt	giũng
khuyến	thiễm
đổ	vứng
á	đoẽn
đỏ	dứm
phan	giệc
rút	voăn
tái	xứn
mấy	hịn
cũ	gõng
rau	puộng
nghèo	gioạt
mời	poáo
gắn	trỉnh
thụ	vạo
cầm	xiện
tờ	pở
tốc	quẩu
buộc	áu
cam	thộc
ước	cũm
dư	toẽo
biện	pới
quần	ngặc
tim	nhởm
phi	quam
thất	nhuổn
thai	quốt
vong	khỗm
bạc	vuýnh
lãi	rãu
tắc	bặn
the	đoác
khúc	suỹnh
sài	gửa
giác	quêu
ngữ	tẫm
cắt	lỉn
hài	cừng
bè	xẫn
phiếu	ngoăm
niệm	hoão
sửa	bượm
dừng	xuýu
la	loách
thiệt	phổn
xếp	phẹt
tận	bược
tĩnh	nguỹnh
sung	quỵn
thử	ngướp
đài	quoả
thẳng	xoém
to	nhuẫn
dịp	kiễu
thôi	nghẽm
trăm	giuynh
chở	quồi
vĩnh	uỵp
nhẹ	muỷ
sữa	thoạp
nguyện	phoẵm
nêu	quẽn
trắng	nghĩm
sạch	poem
tộc	nụm
cận	guỷa
bóng	quề
chục	nừi
ly	ghịu
dần	xoỏng
phổ	quoẽo
vé	rụn
thác	xũa
sỹ	noén
xong	phìu
lỗi	toặng
chóng	tuê
niềm	noòng
tri	thoẳn
gốc	nhớn
đỡ	guốt
nhi	hĩm
thoát	thồm
chặt	tướn
tù	quỉm
a	nhuỷa
sẵn	hượi
hãng	vưởi
làng	soem
loạt	giâu
gió	nhéc
cười	trỗng
vân	boạch
dạng	gioảnh
gòn	trệm
cưới	boát
vững	soao
lá	nù
dây	rướng
hấp	ghiên
nhắc	xỡm
nộp	sượm
coi	phuý
liệt	cưỡn
nối	noặm
đỗ	giuyệt
kém	piệng
võ	gỏ
luyện	puỵch
lẽ	doắc
sắp	tỡi
bến	khóng
rừng	pươm
nhấn	tuẫy
lạnh	xượng
hầu	hỗm
tôn	guốn
huynh	cuyên
cậu	ngứng
cấu	trươn
chứa	thẻm
cập	puềnh
đám	vươm
xấu	xìm
kiên	trày
gà	huộp
thiệu	coem
lắng	voặm
lạ	goã
lắm	hoạy
sa	coành
lửa	ghết
dao	ngưởn
sắt	ngờn
sóng	chộm
tạp	vươu
đột	tráy
mê	tráu
chụp	tuấng
kê	quiệp
giảng	duơ
gắng	truổn
hoạ	phướt
cánh	vuỹ
ngăn	xõi
giàu	khuầy
trụ	nhoạnh
huyết	phỗ
quỹ	moàm
đương	trưỡng
cuốn	loăm
tầm	giuya
ngại	đếnh
tá	duội
giản	ngoẻo
đòi	gổi
xăng	thón
cướp	đoén
lộc	cuyễn
thượng	nồn
kích	cuýa
mật	poài
kịch	nhẻn
ủng	quếp
rơi	phuyển
tuý	nhuyn
cặp	giưm
núi	ngẳng
dinh	quoặt
xung	ghẻng
liền	lựm
tồn	mữ
trấn	khợm
bào	gượn
đích	đoặng
tuyệt	gioạnh
buồn	phắn
bồi	nghếu
hạng	ngận
giết	xứt
ngắn	qủn
đợt	muỹn
vườn	cuyến
chắn	vưm
thải	ghĩm
cấm	guộn
miễn	quổng
phước	bửi
quà	đoỏng
trận	nhuổi
nắng	xoắng
mái	moảng
mạch	lám
bạch	phụi
bãi	nghiết
trà	pắp
mơ	hữi
nắm	đoóng
chữ	vựm
phẫu	truyễn
rượu	truyu
buôn	khoám
phận	giuây
hơi	giến
hy	gạng
hào	xuổm
đem	tặm
nửa	voạm
trưng	ngảu
mừng	nhỗi
khổ	cuýp
tươi	nghiệc
trinh	hoắng
khấu	quình
ngã	dém
băng	goát
bây	ním
đen	thoà
nổ	noẵng
huế	quoảm
xế	oãi
trúng	dứi
hoang	giuâng
kêu	ruổm
bữa	yễm
tùng	trịn
vết	thuậy
dõi	tuể
bờ	đoẽo
chiếu	xiếp
lượt	nhoem
lào	khuýp
thăng	đệu
chút	tũm
cơm	cẩng
kháng	ngoày
tấm	thuỗi
chậm	huyển
thoả	khõn
trộm	quoão
sàng	đòm
lũ	troắc
ơn	từn
ngụ	lườu
nghìn	boằm
sạn	coang
hằng	nhậc
nỗi	lồn
ngô	khứm
âu	ghiễn
gương	doóng
chàng	giạo
trúc	nhoẽm
vương	thậc
ngược	suề
cơn	khầy
kẻ	troặn
bật	nghỵ
đinh	tuâng
ngập	hậy
khóc	thọi
nỗ	dơm
hạt	sộm
đoạt	troạn
ngàn	phọm
thao	dỉ
kính	boọc
ràng	puất
hè	puỷnh
chào	nhụn
bò	loẳng
nhuận	khót
huỳnh	giởi
mã	tớn
cảng	quỹn
hoài	trệnh
bùi	oẽn
thọ	giủi
trạm	ruẩy
đừng	thụn
đâm	vuớ
cát	ngứm
hiếu	sũn
lừa	hưm
lược	tuẩng
mộ	oăng
kiểu	quiền
tệ	roăm
khắp	dọm
giam	noảng
kia	hốn
đàm	ngoém
trùng	xiệng
bậc	lõ
túi	gũng
mãi	hoẽo
màn	vòn
đẳng	toảng
xóm	lựi
giật	dẳn
đuổi	vậu
khủng	đuệch
kênh	trữi
tóc	nhọm
đậu	nhượm
đợi	poạng
lẫn	coạng
ngũ	suynh
thách	phưi
kiều	chẽo
giỏi	nhuộng
dị	ngãy
ví	nghỉn
dựa	phẩng
đoán	thuỹa
kiệm	ngáu
viêm	phỡn
thuyết	oẵn
bão	chuầng
trốn	thưi
tang	troỏng
gấp	moàn
binh	luộng
ngang	đỉn
rối	gioắm
não	cẩy
khẩn	boặt
nhiêu	hoăm
ngư	nhuýu
ấm	huẩy
vỡ	ngầng
lành	giuỷa
thận	đầng
tường	ghền
gói	trô
xu	quành
khiển	nguẫng
ngọt	doẳn
ho	poãn
dàng	mậc
gạo	quẫng
giọng	riện
hẹn	doém
sốt	tểu
già	pạy
ngon	tuộng
mùi	loái
hiến	giái
chảy	pập
thẻ	trết
hiền	xiếng
hề	muổm
lệnh	piền
duyên	phoách
trại	sìa
rác	guỷu
trưa	giỏng
thuyền	doảnh
chánh	chuống
bụng	trãn
mổ	pện
giành	mẽn
ngôn	nhòi
ha	troẹ
lối	hừi
chấn	quừu
gỗ	biễng
xương	nhũa
sứ	trẻm
quên	pầy
mắn	gúa
nấu	nghiều
loạn	miểm
ga	goeo
chấm	ạng
nha	suộc
trừ	buya
ruột	doén
trật	bợi
dáng	pụt
mẽ	ượi
súng	goành
mũi	lửn
uy	giỗn
bảng	rẽm
kèm	sích
đặng	phười
dám	buyu
dược	thĩnh
lẻ	iệu
miệng	nhuối
rời	nhươi
hứng	sẹt
lục	quoàng
in	mưi
chu	ngoóng
nhũng	đuê
đập	choén
ép	giếu
chặn	thoác
hung	giốm
thở	mấc
đèn	chởi
béo	troèo
túc	tậng
cương	gàm
hàm	quinh
huyền	phườu
huỷ	puýn
khích	duýu
bền	chỡm
khô	bễn
dụ	nhoảo
duyệt	tríu
phức	rịnh
sàn	hẫy
sổ	nghỹ
khen	moăn
chúc	ảu
thầu	phuờ
non	quýp
thuý	qung
dâu	oăn
bá	quướng
tuỳ	quử
nai	bẽm
khuôn	vỡn
le	hườm
bia	vẻng
dữ	buần
hiếm	đỡi
đãi	trừi
ôm	lỏ
tật	nươm
làn	ngoạy
tiêm	nhơi
trông	roẽo
bốn	puậy
điển	huờ
lỗ	vầm
gỡ	kệp
kín	voà
trứng	mựt
phán	dầng
mềm	pứm
tú	xuệnh
dâm	quổ
dày	nịm
thập	duệnh
chăn	nuôm
bối	quiên
ngừng	quệnh
rẻ	riểm
thiểu	gĩ
nhắn	gựm
nhảy	vưởm
dứt	quoẹt
tổn	tảnh
phấn	ngoắm
rào	huậng
quỳnh	ruýu
góc	đũ
táo	đuỗn
ống	trễnh
mệt	xoằn
mạc	rẵm
dậy	xển
nhánh	đừa
chạm	moác
mát	noạp
hư	voẵng
nét	thượn
gan	sợm
căng	chuýt
lô	bửn
kho	phuệch
hẳn	nhoọc
thùng	roóc
toả	suẫn
tiềm	khưởm
bột	bỹ
thang	ợm
đồn	vếnh
cụm	vuệch
hỏng	vẩng
đam	ngánh
hảo	ruổng
khuyên	quóng
rửa	quởi
khoán	phiết
tràn	chuỹ
xinh	nuốp
tung	quyu
van	thửu
hô	voát
thù	tười
ẩn	puồn
ghế	quữi
thổ	guềnh
rà	dêm
bó	gứt
tông	goé
chẽ	noáo
bếp	nưm
đáo	bẻng
đấy	rờm
trịnh	phỉm
doạ	chuễnh
tụ	dữn
tháo	chỗng
trữ	noạt
lãng	chười
tắm	đuể
cãi	đuâng
xưa	muất
lúa	sủn
mưu	giuỗn
tôm	moằng
ngoái	cửn
canh	qụm
hứa	ngỏm
ái	pỡn
lắp	bượn
thạch	gại
sắm	thồi
xứ	coao
trầm	troẹt
mỏi	khộc
loan	buật
bổng	buyền
cựu	pỡi
đỉnh	nhốp
bắn	suỵt
cai	loặng
tán	nỗn
đua	choàm
thịnh	xỡ
xâm	sịn
thảm	nửi
tốn	xuỵp
mỡ	chễn
thự	khệm
hộp	phoăng
tran	ỡi
ẩm	vỗi
thép	vãm
tiếc	roé
tam	xuôn
yến	đượt
trào	xấy
bù	pôi
ngưỡng	puỵ
tan	giỹ
răng	rọp
nàng	đỉu
nhãn	nhủng
khiếu	pẽn
hoảng	thuộn
mực	trướu
giấu	poại
chối	xéng
loài	guỹn
tàng	pặm
cống	quăm
chùa	pháu
đền	ngoắng
cổng	coạch
chốt	quáu
hoan	quoãy
lọc	xặp
hoả	riển
giường	bễ
hầm	moãy
my	ghíu
cột	poẻm
bốc	tậc
chín	quỵch
điệu	quỷnh
đắt	qủ
than	ghí
thuẫn	giớp
ro	sẹ
đe	vún
thạnh	suầng
gợi	đíu
rủi	nguyn
thơm	piển
niêm	vúa
va	troẹo
mâu	phậng
vũng	xẻm
củ	choảo
dạ	pãi
khống	giuể
hồn	phĩa
thói	thuýu
sôi	huỵa
ven	boẽn
lưới	nhưởn
trích	thợm
tháp	moẹn
cản	boõng
lang	gưỡm
miếng	lếnh
cất	guýnh
lặng	choao
đạp	đoạng
điệp	chại
đốt	ghễm
pha	boang
bạo	giổn
vỏ	vậm
mầm	quượng
khung	đuỵch
cắp	puỵnh
thờ	duống
treo	ền
huống	nảu
chừng	ghẹp
oan	dổ
vả	nguểnh
trọ	quỗng
lãm	bém
thoải	dũm
lệch	lưởu
ấp	nhẽng
lưng	mừa
co	sỏm
bơi	gièo
u	ruỷnh
ân	ruậy
mảnh	đuột
ghép	sựu
dàn	pặt
lợn	gioỏng
chai	phoạn
giấc	ịm
cờ	đèng
cẩm	phủng
thua	nuyển
giáp	uỵu
xả	tịa
đắk	ngoát
muối	luốm
khuẩn	boay
váy	voàng
lít	nuý
huấn	khẵm
chủng	goằn
trôi	giờn
say	gưu
heo	dừi
ngực	hoé
hối	doảm
mau	dĩn
vẽ	guận
hâm	nọp
ngừa	toèn
khoe	doẳm
vất	chọm
bỏng	nguỳn
bớt	xõm
i	pấng
tuyết	xùng
bận	trụp
sót	roãnh
bát	khẹm
phỏng	uễ
bông	xuế
bang	moèo
tuân	pấu
lò	đưởu
che	nhuỹn
khát	giựn
chém	hoáp
đậm	khéc
bại	choáp
tiệc	puôm
nhịp	vẵm
mệnh	bệp
đống	boăm
mặn	gứ
săn	tốm
bích	quím
đo	huỵp
mây	nhẹng
móc	duỹ
xứng	xụm
hong	nhoặng
viễn	phợi
chua	thữa
thả	vuya
lam	đõm
đẻ	cuôm
cứng	thuynh
sáu	thộng
mì	ngướu
xoá	gioạn
vắng	gịp
mãn	ngơm
triều	sướp
cốt	oài
su	kỉm
giây	suấn
nhung	phuỵnh
chó	tuẩy
tiệm	chện
tròn	nỏn
khâu	duỳnh
lậu	cuốt
chuỗi	puyệt
kiệt	suỷ
bám	nởn
lạm	hưỡu
bom	cuỡ
bê	trủ
trân	xằn
hưu	hoạp
vải	poá
trăng	nhoằn
đựng	ghịnh
dọc	quễm
gánh	soặn
cỏ	xuấng
thuỳ	nhỉu
nghiện	gườu
vở	guyến
đắc	cuệch
ngộ	bòi
tre	thoé
nở	chứu
ngãi	ẫy
cẩn	buỗn
vĩ	goẽm
lầm	vuây
tả	khoẹt
trục	nuâng
dọn	vuổn
vội	goẵng
thiệp	đoãnh
đai	đũn
triệt	trỉn
sốc	moõng
liêm	xởm
mượn	quâng
tắt	đoăm
tu	chiễu
bách	guỳ
truyện	ngoòng
trống	trỡm
bọn	phặc
cú	pục
phượng	gioẹm
dưa	duỷ
ngõ	xoẻn
tủ	toẻm
dập	chợi
muộn	dếch
vời	boãnh
chẩn	guở
buýt	théng
huệ	phoàm
vu	oảo
ùn	rườu
tụng	tơn
mét	oắn
vang	poằn
tiễn	rệch
yết	rữ
gọn	khoẵm
sập	xùn
nại	duýa
chim	rắng
hôi	quoẽm
phổi	troẻn
thuỵ	nớn
xô	ruýp
nhàng	uốt
vẹn	xưỡm
vua	doẻ
giận	ẫm
chìm	ghin
nhựa	doăn
dường	trởm
rạng	xĩu
ngọn	loáo
chinh	chiềm
lở	đởi
nề	pữm
ngầm	truốm
trộn	duổi
pháo	vãy
lân	vộp
nhan	choẽo
tha	xướn
nhậu	tẫn
nồng	mãm
thợ	đỳ
pham	khuỷa
trọn	quậu
lăng	toánh
thưa	hiễm
khuyết	nợm
sánh	thuỹnh
mắm	quột
nhầm	nhoẹm
đạn	nhuôm
chênh	puốt
bảy	doẽn
lọt	coày
khôi	chỷ
xoay	cuyệt
nụ	gioọc
hang	hếm
toạ	xoẵng
tách	vuợ
vướng	quoáp
múa	duồm
bi	đặm
e	thoành
lão	pải
kì	hấc
gò	cẵm
hi	voẹt
giày	đẹc
hẹp	giãm
kẹt	vứu
ốc	khuậy
ảo	trắt
đắp	voay
dính	dết
nén	ngớm
ác	phùi
hiển	khuýu
bề	buẩn
lồng	khườu
mốc	ngẫy
móng	ụi
mạn	quường
ức	bõng
suối	quịa
uý	lỗm
lí	vuyết
cưỡng	põn
nướng	cuynh
bụi	ngươu
khói	guâng
đói	duộm
dĩ	pệt
kiêm	khẵng
mến	sươi
nhơn	pệ
tuệ	dõn
mù	coàng
đeo	dốn
khớp	kệu
